[18/Jul/2024:02:39:44 +0000] - 502, 502 502 - GET http localhost "/" [Client 127.0.0.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[18/Jul/2024:02:46:42 +0000] - 304 304 - GET http 127.0.0.1 "/static/js/src_components_index_ts.chunk.js" [Client 192.168.65.1] [Length 0] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://127.0.0.1/"
[18/Jul/2024:02:46:42 +0000] - 200 200 - GET http 127.0.0.1 "/assets/images/cool-background.svg" [Client 192.168.65.1] [Length 1633] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://127.0.0.1/"
[18/Jul/2024:02:46:43 +0000] - 200 200 - GET http 127.0.0.1 "/manifest.json" [Client 192.168.65.1] [Length 514] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://127.0.0.1/"
[18/Jul/2024:02:46:43 +0000] - 200 200 - GET http 127.0.0.1 "/favicon.ico" [Client 192.168.65.1] [Length 9305] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://127.0.0.1/"
[18/Jul/2024:02:46:45 +0000] - 304 304 - GET http localhost "/" [Client 192.168.65.1] [Length 0] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[18/Jul/2024:02:46:45 +0000] - 304 304 - GET http localhost "/static/js/bundle.js" [Client 192.168.65.1] [Length 0] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[18/Jul/2024:02:46:46 +0000] - 304 304 - GET http localhost "/static/js/vendors-node_modules_mui_icons-material_AccessTime_js-node_modules_mui_icons-material_Comment-3599e2.chunk.js" [Client 192.168.65.1] [Length 0] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[18/Jul/2024:02:46:46 +0000] - 304 304 - GET http localhost "/static/js/src_components_index_ts.chunk.js" [Client 192.168.65.1] [Length 0] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[18/Jul/2024:02:46:46 +0000] - 304 304 - GET http localhost "/assets/images/cool-background.svg" [Client 192.168.65.1] [Length 0] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[18/Jul/2024:02:46:46 +0000] - 304 304 - GET http localhost "/manifest.json" [Client 192.168.65.1] [Length 0] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[18/Jul/2024:02:47:17 +0000] - 304 304 - GET http 127.0.0.1 "/" [Client 192.168.65.1] [Length 0] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[18/Jul/2024:02:47:17 +0000] - 304 304 - GET http 127.0.0.1 "/static/js/bundle.js" [Client 192.168.65.1] [Length 0] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://127.0.0.1/"
[18/Jul/2024:02:47:17 +0000] - 304 304 - GET http 127.0.0.1 "/static/js/src_components_index_ts.chunk.js" [Client 192.168.65.1] [Length 0] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://127.0.0.1/"
[18/Jul/2024:02:47:17 +0000] - 304 304 - GET http 127.0.0.1 "/static/js/vendors-node_modules_mui_icons-material_AccessTime_js-node_modules_mui_icons-material_Comment-3599e2.chunk.js" [Client 192.168.65.1] [Length 0] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://127.0.0.1/"
[18/Jul/2024:02:47:17 +0000] - 304 304 - GET http 127.0.0.1 "/assets/images/cool-background.svg" [Client 192.168.65.1] [Length 0] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://127.0.0.1/"
[18/Jul/2024:02:47:18 +0000] - 304 304 - GET http 127.0.0.1 "/manifest.json" [Client 192.168.65.1] [Length 0] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://127.0.0.1/"
[18/Jul/2024:02:48:18 +0000] - 304 304 - GET http localhost "/" [Client 192.168.65.1] [Length 0] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[18/Jul/2024:02:48:18 +0000] - 304 304 - GET http localhost "/static/js/bundle.js" [Client 192.168.65.1] [Length 0] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[18/Jul/2024:02:48:18 +0000] - 304 304 - GET http localhost "/static/js/src_components_index_ts.chunk.js" [Client 192.168.65.1] [Length 0] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[18/Jul/2024:02:48:18 +0000] - 304 304 - GET http localhost "/static/js/vendors-node_modules_mui_icons-material_AccessTime_js-node_modules_mui_icons-material_Comment-3599e2.chunk.js" [Client 192.168.65.1] [Length 0] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[18/Jul/2024:02:48:18 +0000] - 304 304 - GET http localhost "/assets/images/cool-background.svg" [Client 192.168.65.1] [Length 0] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[18/Jul/2024:02:48:18 +0000] - 304 304 - GET http localhost "/manifest.json" [Client 192.168.65.1] [Length 0] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[19/Jul/2024:19:19:54 +0000] - 502 502 - GET http 127.0.0.1 "/" [Client 192.168.65.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost:81/"
[19/Jul/2024:19:19:55 +0000] - 502 502 - GET http 127.0.0.1 "/favicon.ico" [Client 192.168.65.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://127.0.0.1/"
[19/Jul/2024:19:20:00 +0000] - 502 502 - GET http localhost "/" [Client 192.168.65.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost:81/"
[19/Jul/2024:19:20:00 +0000] - 502 502 - GET http localhost "/favicon.ico" [Client 192.168.65.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[19/Jul/2024:19:24:49 +0000] - 502 502 - GET http localhost "/" [Client 192.168.65.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[19/Jul/2024:19:24:49 +0000] - 502 502 - GET http localhost "/favicon.ico" [Client 192.168.65.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
